ra_code,ra_number,region_name,region_name_gdf,ibge_subdistrict_id,ibge_subdistrict_name,name_match_method,note
RA-I,1,Plano Piloto,PLANO PILOTO,53001080506,Plano Piloto,normalized_exact,
RA-II,2,Gama,GAMA,53001080507,Gama,normalized_exact,
RA-III,3,Taguatinga,TAGUATINGA,53001080508,Taguatinga,normalized_exact,
RA-IV,4,Brazlândia,BRAZLÂNDIA,53001080509,Brazlândia,normalized_exact,
RA-V,5,Sobradinho,SOBRADINHO,53001080510,Sobradinho,normalized_exact,
RA-VI,6,Planaltina,PLANALTINA,53001080511,Planaltina,normalized_exact,
RA-VII,7,Paranoá,PARANOÁ,53001080512,Paranoá,normalized_exact,
RA-VIII,8,Núcleo Bandeirante,NÚCLEO BANDEIRANTE,53001080514,Núcleo Bandeirante,normalized_exact,
RA-IX,9,Ceilândia,CEILÂNDIA,53001080515,Ceilândia,normalized_exact,
RA-X,10,Guará,GUARÁ,53001080516,Guará,normalized_exact,
RA-XI,11,Cruzeiro,CRUZEIRO,53001080517,Cruzeiro,normalized_exact,
RA-XII,12,Samambaia,SAMAMBAIA,53001080518,Samambaia,normalized_exact,
RA-XIII,13,Santa Maria,SANTA MARIA,53001080525,Santa Maria,normalized_exact,
RA-XIV,14,São Sebastião,SÃO SEBASTIÃO,53001080530,São Sebastião,normalized_exact,
RA-XV,15,Recanto das Emas,RECANTO DAS EMAS,53001080520,Recanto das Emas,normalized_exact,
RA-XVI,16,Lago Sul,LAGO SUL,53001080523,Lago Sul,normalized_exact,
RA-XVII,17,Riacho Fundo,RIACHO FUNDO,53001080513,Riacho Fundo,normalized_exact,
RA-XVIII,18,Lago Norte,LAGO NORTE,53001080521,Lago Norte,normalized_exact,
RA-XIX,19,Candangolândia,CANDANGOLÂNDIA,53001080519,Candangolândia,normalized_exact,
RA-XX,20,Águas Claras,ÁGUAS CLARAS,53001080536,Águas Claras,normalized_exact,
RA-XXI,21,Riacho Fundo II,RIACHO FUNDO II,53001080541,Riacho Fundo II,normalized_exact,
RA-XXII,22,Sudoeste/Octogonal,SUDOESTE/OCTOGONAL,53001080535,Sudoeste/Octogonal,normalized_exact,
RA-XXIII,23,Varjão,VARJÃO,53001080543,Varjão,normalized_exact,
RA-XXIV,24,Park Way,PARK WAY,53001080542,Park Way,normalized_exact,
RA-XXV,25,SCIA,SCIA,53001080534,SCIA,normalized_exact,
RA-XXVI,26,Sobradinho II,SOBRADINHO II,53001080544,Sobradinho II,normalized_exact,
RA-XXVII,27,Jardim Botânico,JARDIM BOTÂNICO,53001080540,Jardim Botânico,normalized_exact,
RA-XXVIII,28,Itapoã,ITAPOÃ,53001080538,Itapoã,normalized_exact,
RA-XXIX,29,SIA,SIA,53001080533,SIA,normalized_exact,
RA-XXX,30,Vicente Pires,VICENTE PIRES,53001080537,Vicente Pires,normalized_exact,
RA-XXXI,31,Fercal,FERCAL,53001080539,Fercal,normalized_exact,
RA-XXXII,32,Sol Nascente/Pôr do Sol,SOL NASCENTE E POR DO SOL,53001080531,Sol Nascente/Pôr do Sol,manual_reviewed,GDF grafa 'E POR DO SOL'; IBGE grafa '/Pôr do Sol'. Mesma RA XXXII.
RA-XXXIII,33,Arniqueira,ARNIQUEIRA,53001080532,Arniqueira,normalized_exact,
RA-XXXIV,34,Arapoanga,ARAPOANGA,53001080545,Arapoanga,normalized_exact,
RA-XXXV,35,Água Quente,AGUA QUENTE,53001080546,Água Quente,normalized_exact,
